,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,Cluster,Spending_Score_Encoded
98,465108,Male,Yes,58,Yes,Doctor,1,Average,2,Cat_6,C,1,0
99,462600,Male,Yes,30,No,Engineer,3,Average,3,Cat_4,D,1,0
100,464144,Male,Yes,60,Yes,Artist,0,Average,4,Cat_6,C,1,0
101,466911,Male,Yes,68,No,Executive,1,High,7,Cat_6,B,1,1
102,462806,Male,Yes,52,No,Artist,0,Low,3,Cat_4,A,0,2
103,463426,Male,Yes,38,No,Executive,0,High,5,Cat_6,A,1,1
104,464065,Female,Yes,35,Yes,Healthcare,10,Low,2,Cat_6,B,2,2
105,462979,Male,No,18,No,Doctor,1,Low,2,Cat_6,D,2,2
106,462834,Male,Yes,30,Yes,Homemaker,3,Low,2,Cat_1,D,2,2
107,460764,Male,No,86,No,Lawyer,1,Low,1,Cat_6,D,0,2
109,460185,Male,No,25,No,Healthcare,9,Low,3,Cat_6,D,2,2
111,464406,Female,No,39,Yes,Artist,0,Low,1,Cat_6,A,0,2
113,462059,Male,No,47,Yes,Artist,1,Low,1,Cat_6,C,0,2
114,467905,Male,Yes,43,Yes,Executive,0,High,3,Cat_6,D,1,1
115,461177,Male,Yes,36,No,Executive,8,Average,4,Cat_1,B,1,0
116,460765,Male,Yes,80,No,Lawyer,1,Low,1,Cat_6,D,0,2
117,465386,Male,No,36,Yes,Artist,0,Low,2,Cat_2,C,2,2
119,462332,Female,Yes,37,Yes,Artist,1,High,2,Cat_7,A,1,1
120,464481,Male,Yes,46,Yes,Executive,0,High,3,Cat_6,C,1,1
121,461011,Male,Yes,55,No,Executive,1,High,4,Cat_3,B,1,1
122,464749,Female,Yes,47,No,Engineer,9,Average,4,Cat_4,B,1,0
123,461094,Female,No,28,Yes,Healthcare,1,Low,3,Cat_3,D,2,2
124,462104,Male,Yes,39,No,Entertainment,9,Low,2,Cat_3,D,2,2
125,464524,Female,Yes,27,No,Marketing,1,Low,2,Cat_6,A,2,2
127,461787,Male,Yes,72,Yes,Artist,0,Average,2,Cat_6,C,1,0
128,467857,Female,Yes,28,Yes,Engineer,0,Low,2,Cat_6,A,2,2
129,460153,Male,No,35,Yes,Entertainment,8,Low,5,Cat_6,C,2,2
130,465215,Male,Yes,39,Yes,Executive,9,High,5,Cat_2,A,2,1
131,466746,Female,Yes,69,Yes,Lawyer,0,High,2,Cat_6,C,0,1
132,464857,Male,No,18,No,Healthcare,6,Low,4,Cat_4,D,2,2
134,460723,Female,Yes,50,Yes,Engineer,1,High,2,Cat_4,B,0,1
135,459853,Male,No,30,No,Executive,5,Low,5,Cat_6,A,2,2
137,460410,Female,No,39,Yes,Artist,3,Low,4,Cat_6,D,2,2
138,463823,Female,No,29,No,Marketing,8,Low,4,Cat_6,D,2,2
139,462008,Female,Yes,37,Yes,Artist,4,Low,4,Cat_5,B,2,2
140,459750,Female,Yes,39,Yes,Engineer,0,Average,2,Cat_6,A,1,0
141,459880,Female,Yes,48,Yes,Artist,0,Average,5,Cat_7,C,1,0
142,459261,Female,No,32,Yes,Doctor,0,Low,3,Cat_6,C,2,2
144,465395,Female,Yes,43,No,Engineer,0,Average,5,Cat_4,B,1,0
145,461631,Male,No,29,No,Marketing,8,Low,5,Cat_6,C,2,2
146,464904,Female,Yes,28,No,Engineer,9,Average,2,Cat_4,A,1,0
147,461740,Male,Yes,80,Yes,Lawyer,1,Low,1,Cat_6,B,0,2
148,467092,Female,No,28,Yes,Healthcare,7,Low,4,Cat_6,D,2,2
149,464173,Male,Yes,71,Yes,Artist,6,Average,3,Cat_6,C,1,0
150,464972,Male,Yes,67,No,Lawyer,0,High,9,Cat_4,A,1,1
151,467959,Female,No,26,No,Engineer,0,Low,1,Cat_2,A,2,2
152,467688,Female,Yes,47,Yes,Engineer,0,Average,2,Cat_6,C,1,0
153,460043,Female,Yes,43,Yes,Artist,2,Average,2,Cat_6,B,1,0
154,466590,Female,No,27,Yes,Healthcare,0,Low,4,Cat_6,C,2,2
155,461191,Female,Yes,45,Yes,Marketing,8,Low,4,Cat_6,D,2,2
156,465662,Male,Yes,76,No,Executive,1,Low,1,Cat_6,C,0,2
157,459231,Female,Yes,43,Yes,Artist,3,Average,4,Cat_6,C,1,0
158,466495,Female,Yes,78,Yes,Lawyer,1,High,2,Cat_6,B,0,1
159,459192,Male,Yes,35,Yes,Artist,3,Average,3,Cat_6,C,1,0
160,465710,Female,No,49,Yes,Artist,1,Low,1,Cat_6,C,0,2
161,460258,Female,No,25,Yes,Healthcare,1,Low,5,Cat_6,D,2,2
162,462813,Male,Yes,37,No,Executive,0,Average,5,Cat_6,A,1,0
164,467768,Male,Yes,60,Yes,Doctor,0,Average,2,Cat_6,C,1,0
165,465291,Female,Yes,45,Yes,Artist,5,Average,3,Cat_6,C,1,0
166,462996,Female,Yes,49,Yes,Homemaker,9,Average,3,Cat_6,C,1,0
167,463497,Male,No,32,Yes,Artist,0,Low,5,Cat_6,D,2,2
168,465301,Female,Yes,40,Yes,Artist,0,Low,3,Cat_3,B,2,2
169,464702,Male,Yes,59,No,Artist,2,Average,2,Cat_4,C,1,0
170,459012,Male,Yes,48,Yes,Artist,3,Low,5,Cat_6,B,2,2
171,465053,Male,Yes,82,Yes,Executive,0,High,2,Cat_6,C,0,1
172,459420,Female,Yes,70,Yes,Lawyer,0,Low,2,Cat_6,B,0,2
173,464166,Male,No,31,Yes,Artist,5,Low,2,Cat_6,B,2,2
174,458987,Female,Yes,72,Yes,Lawyer,0,High,2,Cat_6,C,0,1
175,467745,Male,Yes,50,Yes,Artist,3,Average,4,Cat_6,C,1,0
176,464866,Female,No,23,No,Engineer,11,Low,1,Cat_3,D,2,2
177,461081,Female,No,20,No,Healthcare,2,Low,6,Cat_6,D,2,2
178,467896,Female,No,22,No,Healthcare,4,Low,3,Cat_6,D,2,2
179,463991,Female,No,31,Yes,Engineer,8,Low,1,Cat_6,A,2,2
180,466620,Female,Yes,36,Yes,Artist,7,Average,2,Cat_6,C,1,0
183,460697,Male,Yes,40,Yes,Artist,4,Average,4,Cat_6,C,1,0
184,467934,Female,No,40,Yes,Artist,1,Low,1,Cat_6,A,0,2
187,467910,Female,No,21,No,Doctor,1,Low,3,Cat_7,A,2,2
188,467335,Female,Yes,41,No,Engineer,4,Average,2,Cat_6,D,1,0
189,460263,Male,Yes,40,Yes,Artist,0,Low,2,Cat_6,B,0,2
190,459340,Male,Yes,53,Yes,Artist,1,Average,3,Cat_6,B,1,0
191,465622,Female,Yes,42,Yes,Artist,5,Low,2,Cat_6,C,2,2
192,459395,Male,Yes,42,No,Executive,8,Low,2,Cat_6,D,2,2
194,466574,Male,Yes,59,Yes,Artist,7,Low,2,Cat_6,C,0,2
195,466544,Male,Yes,41,Yes,Executive,1,Average,3,Cat_6,A,1,0
196,463610,Female,Yes,31,Yes,Artist,0,Average,2,Cat_6,A,1,0
197,465539,Female,Yes,49,Yes,Artist,1,High,5,Cat_6,B,1,1
198,459823,Male,Yes,67,Yes,Executive,1,Low,2,Cat_6,A,0,2
199,467614,Male,Yes,35,No,Artist,4,Average,2,Cat_6,B,1,0
200,459073,Female,No,26,Yes,Healthcare,0,Low,3,Cat_6,C,2,2
202,464863,Female,Yes,25,No,Engineer,6,Average,8,Cat_4,D,1,0
203,460022,Female,Yes,39,Yes,Healthcare,4,Low,2,Cat_6,A,2,2
204,459929,Male,Yes,63,Yes,Entertainment,0,Low,2,Cat_6,A,0,2
205,466613,Male,No,23,No,Healthcare,8,Low,3,Cat_6,D,2,2
206,461149,Female,No,23,No,Healthcare,0,Low,3,Cat_3,D,2,2
207,466068,Female,Yes,53,Yes,Artist,2,Low,1,Cat_6,C,0,2
208,461513,Male,No,33,Yes,Doctor,0,Low,2,Cat_6,B,2,2
210,466236,Female,Yes,69,Yes,Engineer,0,Low,2,Cat_4,B,0,2
211,459664,Male,No,37,Yes,Artist,2,Low,1,Cat_6,B,0,2
212,461967,Female,No,20,No,Marketing,3,Low,4,Cat_7,C,2,2
214,461710,Female,Yes,49,Yes,Doctor,1,Average,4,Cat_6,C,1,0
215,462742,Male,No,18,No,Healthcare,0,Low,3,Cat_3,D,2,2
216,459528,Female,Yes,52,Yes,Doctor,0,Average,2,Cat_6,C,1,0
221,467515,Male,Yes,28,Yes,Engineer,0,Average,2,Cat_6,A,1,0
222,463429,Female,No,28,Yes,Artist,7,Low,3,Cat_6,A,2,2
223,464024,Male,No,20,No,Healthcare,0,Low,5,Cat_7,D,2,2
224,460691,Female,No,27,No,Homemaker,8,Low,1,Cat_3,D,2,2
226,467271,Male,Yes,45,Yes,Artist,4,Average,4,Cat_6,B,1,0
227,465634,Male,No,25,Yes,Healthcare,1,Low,4,Cat_4,B,2,2
228,464801,Male,No,40,No,Marketing,1,Low,1,Cat_4,D,0,2
232,462036,Female,Yes,67,Yes,Lawyer,0,High,2,Cat_6,B,0,1
234,460448,Female,No,38,Yes,Artist,9,Low,1,Cat_3,A,2,2
235,464464,Male,No,28,No,Healthcare,0,Low,4,Cat_2,C,2,2
236,462410,Female,No,32,No,Healthcare,1,Low,5,Cat_7,B,2,2
238,459756,Female,Yes,56,No,Lawyer,1,High,4,Cat_4,B,1,1
239,463789,Female,Yes,53,Yes,Artist,1,Low,2,Cat_6,C,0,2
240,466947,Male,Yes,57,No,Executive,1,High,5,Cat_6,C,1,1
241,464150,Female,Yes,59,Yes,Artist,0,Average,3,Cat_6,C,1,0
242,465693,Female,Yes,25,Yes,Healthcare,1,High,4,Cat_4,A,2,1
243,461670,Male,Yes,59,Yes,Artist,0,Average,6,Cat_6,C,1,0
244,466768,Female,Yes,36,Yes,Artist,0,Low,4,Cat_6,C,2,2
245,461550,Male,Yes,37,Yes,Entertainment,7,Low,2,Cat_6,A,2,2
246,462438,Male,No,22,No,Doctor,1,Low,3,Cat_2,D,2,2
247,460704,Male,Yes,43,Yes,Artist,1,Low,2,Cat_6,B,0,2
248,464884,Male,Yes,41,Yes,Artist,1,Low,2,Cat_4,A,0,2
249,467050,Female,No,21,No,Engineer,0,Low,5,Cat_2,B,2,2
251,466176,Male,No,38,Yes,Doctor,8,Low,1,Cat_2,B,2,2
253,467773,Male,Yes,70,Yes,Lawyer,1,High,3,Cat_6,C,0,1
254,465425,Female,No,31,No,Engineer,1,Low,4,Cat_6,B,2,2
255,462318,Female,Yes,82,No,Lawyer,0,Average,2,Cat_6,A,1,0
258,460197,Male,No,38,Yes,Artist,8,Low,3,Cat_2,A,2,2
259,459375,Male,Yes,18,No,Executive,0,High,4,Cat_6,A,2,1
260,463862,Male,Yes,50,Yes,Artist,6,Average,3,Cat_6,C,1,0
262,462721,Female,Yes,72,No,Lawyer,1,High,3,Cat_6,D,0,1
264,465809,Female,No,25,No,Homemaker,1,Low,7,Cat_4,B,2,2
265,466915,Female,Yes,75,No,Entertainment,2,High,2,Cat_2,D,0,1
266,467343,Male,No,72,Yes,Artist,1,Low,1,Cat_6,B,0,2
267,466268,Female,Yes,72,Yes,Artist,0,Average,3,Cat_4,C,1,0
268,464868,Male,Yes,36,Yes,Entertainment,6,Low,6,Cat_4,A,2,2
269,464038,Male,Yes,40,Yes,Artist,1,Low,2,Cat_6,A,0,2
270,460176,Female,No,28,Yes,Entertainment,0,Low,4,Cat_6,C,2,2
271,462161,Female,No,28,Yes,Doctor,0,Low,3,Cat_6,D,2,2
273,464893,Male,Yes,43,Yes,Artist,0,Low,2,Cat_4,B,0,2
274,464443,Female,Yes,35,Yes,Artist,1,Average,2,Cat_6,B,1,0
275,467619,Male,Yes,65,Yes,Lawyer,1,High,2,Cat_6,B,0,1
276,465974,Male,Yes,52,Yes,Executive,7,High,4,Cat_4,C,1,1
277,462075,Female,No,40,Yes,Artist,1,Low,1,Cat_6,B,0,2
278,459494,Female,Yes,69,No,Engineer,9,Low,3,Cat_6,A,0,2
279,466921,Female,No,22,No,Healthcare,3,Low,3,Cat_6,D,2,2
280,463544,Male,Yes,47,Yes,Executive,1,Average,4,Cat_6,C,1,0
281,461167,Male,Yes,29,Yes,Marketing,1,High,2,Cat_3,A,2,1
282,467364,Male,Yes,46,Yes,Artist,1,Average,3,Cat_3,C,1,0
283,462408,Male,No,32,Yes,Artist,1,Low,2,Cat_6,A,2,2
284,466224,Female,No,38,Yes,Healthcare,0,Low,1,Cat_2,C,0,2
285,465151,Male,Yes,59,Yes,Artist,0,Low,1,Cat_6,B,0,2
286,467216,Female,No,26,Yes,Entertainment,1,Low,1,Cat_6,D,2,2
287,460586,Male,No,26,Yes,Healthcare,1,Low,2,Cat_3,A,2,2
288,461197,Male,No,28,No,Marketing,0,Low,1,Cat_3,D,2,2
289,462776,Female,Yes,53,Yes,Engineer,1,Average,3,Cat_6,C,1,0
291,464088,Male,No,27,No,Doctor,1,Low,3,Cat_6,D,2,2
293,464695,Male,No,26,No,Engineer,0,Low,4,Cat_4,D,2,2
294,462331,Female,No,31,No,Entertainment,0,Low,2,Cat_6,D,2,2
295,466523,Male,Yes,39,Yes,Executive,1,High,3,Cat_3,B,1,1
296,465337,Female,Yes,43,No,Engineer,1,Low,3,Cat_7,A,2,2
297,460834,Male,Yes,25,No,Doctor,1,Low,2,Cat_1,A,2,2
298,466824,Male,Yes,40,Yes,Artist,3,High,3,Cat_6,A,1,1
299,461607,Female,Yes,40,Yes,Entertainment,7,Average,2,Cat_3,B,1,0
302,466999,Male,No,27,Yes,Healthcare,1,Low,3,Cat_6,D,2,2
303,466597,Female,No,19,No,Healthcare,1,Low,2,Cat_6,D,2,2
304,464075,Female,Yes,86,Yes,Lawyer,0,High,2,Cat_6,B,0,1
306,462163,Female,Yes,27,Yes,Artist,4,Average,2,Cat_3,C,1,0
307,463895,Female,Yes,70,No,Doctor,0,Average,2,Cat_6,B,1,0
308,464767,Female,Yes,53,No,Engineer,8,Average,4,Cat_4,B,1,0
313,463738,Male,Yes,43,No,Executive,0,High,4,Cat_6,A,1,1
314,465967,Male,Yes,36,No,Doctor,6,Low,3,Cat_6,A,2,2
315,462260,Male,Yes,74,Yes,Lawyer,0,Low,2,Cat_6,C,0,2
316,467234,Female,No,30,No,Homemaker,0,Low,4,Cat_6,D,2,2
317,466573,Female,No,37,Yes,Artist,5,Low,2,Cat_6,B,2,2
318,463229,Female,No,22,No,Marketing,0,Low,1,Cat_5,B,2,2
319,459768,Male,No,19,No,Healthcare,0,Low,4,Cat_6,D,2,2
320,462541,Male,Yes,70,Yes,Engineer,4,High,2,Cat_6,B,0,1
321,467714,Male,Yes,89,Yes,Lawyer,13,Low,1,Cat_6,A,0,2
323,459474,Male,No,25,Yes,Doctor,6,Low,1,Cat_2,D,2,2
324,460093,Female,No,45,Yes,Artist,4,Low,1,Cat_3,A,0,2
325,467865,Female,No,35,Yes,Artist,3,Low,1,Cat_4,A,2,2
326,465758,Female,Yes,37,No,Engineer,7,Low,1,Cat_4,D,2,2
327,464184,Female,Yes,39,No,Engineer,4,Average,2,Cat_6,B,1,0
328,462618,Female,No,32,Yes,Healthcare,1,Low,5,Cat_4,D,2,2
329,464226,Female,Yes,62,Yes,Artist,2,Average,3,Cat_6,C,1,0
330,465432,Female,Yes,58,Yes,Engineer,0,Average,4,Cat_4,B,1,0
332,466627,Male,No,25,No,Healthcare,0,Low,5,Cat_6,C,2,2
333,467380,Female,Yes,56,Yes,Artist,0,Average,4,Cat_6,C,1,0
334,465842,Female,No,36,Yes,Entertainment,10,Low,2,Cat_6,A,2,2
335,464622,Female,No,30,No,Healthcare,8,Low,3,Cat_6,A,2,2
336,462083,Male,No,19,No,Healthcare,1,Low,5,Cat_6,D,2,2
337,460910,Male,No,27,Yes,Healthcare,0,Low,2,Cat_6,A,2,2
338,460255,Female,No,38,Yes,Doctor,14,Low,1,Cat_6,A,2,2
339,460109,Male,Yes,46,Yes,Artist,8,Average,2,Cat_6,C,1,0
340,464306,Male,No,29,Yes,Artist,3,Low,1,Cat_6,B,2,2
341,466835,Male,Yes,51,No,Entertainment,1,Average,4,Cat_7,B,1,0
342,465192,Male,Yes,55,No,Artist,0,Low,1,Cat_6,A,0,2
343,463380,Female,Yes,69,Yes,Engineer,1,Low,1,Cat_3,A,0,2
344,462391,Female,No,26,No,Healthcare,1,Low,8,Cat_7,C,2,2
345,467086,Female,Yes,83,Yes,Lawyer,0,Low,3,Cat_6,A,0,2
346,460306,Female,No,39,Yes,Healthcare,9,Low,1,Cat_6,D,2,2
347,460752,Male,Yes,35,Yes,Artist,9,Low,1,Cat_6,A,2,2
348,467264,Male,Yes,19,No,Marketing,2,High,5,Cat_6,C,2,1
353,466258,Female,No,29,No,Healthcare,1,Low,3,Cat_6,B,2,2
354,463719,Female,No,26,No,Doctor,0,Low,1,Cat_6,D,2,2
355,460032,Male,No,36,Yes,Engineer,8,Low,1,Cat_6,A,2,2
356,465175,Female,No,22,No,Homemaker,0,Low,4,Cat_6,D,2,2
357,466610,Male,No,19,No,Marketing,0,Low,5,Cat_6,A,2,2
358,459036,Female,Yes,20,Yes,Lawyer,1,Average,3,Cat_3,A,1,0
359,464047,Male,No,43,Yes,Healthcare,3,Low,3,Cat_6,D,2,2
361,459997,Male,No,43,Yes,Entertainment,1,Low,2,Cat_4,A,0,2
362,463382,Female,Yes,50,Yes,Engineer,4,High,3,Cat_6,B,1,1
363,460967,Male,No,25,Yes,Entertainment,1,Low,2,Cat_6,A,2,2
364,465094,Male,Yes,61,No,Artist,1,High,2,Cat_6,B,0,1
365,461229,Female,Yes,28,Yes,Healthcare,0,Average,2,Cat_6,A,1,0
366,466442,Male,No,38,Yes,Artist,1,Low,1,Cat_6,D,0,2
367,464527,Male,No,25,No,Executive,12,Low,3,Cat_6,A,2,2
368,463560,Female,No,18,No,Healthcare,9,Low,5,Cat_4,D,2,2
369,460011,Male,Yes,43,Yes,Entertainment,1,Average,5,Cat_5,C,1,0
370,467207,Female,No,27,Yes,Artist,8,Low,1,Cat_6,B,2,2
371,465177,Female,No,60,Yes,Entertainment,1,Low,2,Cat_6,D,0,2
372,467531,Male,Yes,75,Yes,Lawyer,2,Low,1,Cat_6,D,0,2
374,462842,Male,No,23,No,Doctor,6,Low,4,Cat_2,D,2,2
375,462124,Male,No,36,Yes,Artist,8,Low,1,Cat_6,A,2,2
376,466265,Male,No,30,No,Doctor,1,Low,1,Cat_3,C,2,2
377,459789,Male,Yes,56,No,Artist,1,Average,2,Cat_6,C,1,0
378,464223,Female,Yes,52,Yes,Artist,2,Low,2,Cat_6,C,0,2
379,460280,Male,Yes,39,Yes,Entertainment,0,Low,1,Cat_6,D,0,2
380,460331,Female,No,35,No,Artist,5,Low,1,Cat_6,A,2,2
381,461494,Male,Yes,33,No,Engineer,0,Average,2,Cat_6,B,1,0
382,460035,Female,No,25,Yes,Artist,0,Low,6,Cat_6,A,2,2
383,463812,Female,Yes,27,Yes,Artist,0,Average,2,Cat_4,B,1,0
384,465569,Male,Yes,35,Yes,Artist,1,High,3,Cat_6,A,1,1
385,466333,Female,Yes,41,Yes,Artist,1,Average,2,Cat_6,C,1,0
387,462723,Female,Yes,46,No,Artist,8,Average,2,Cat_6,B,1,0
390,462404,Female,No,26,Yes,Artist,9,Low,1,Cat_6,A,2,2
391,461799,Male,Yes,43,Yes,Doctor,13,High,2,Cat_6,B,2,1
392,459933,Female,Yes,30,Yes,Artist,8,Low,4,Cat_6,A,2,2
393,463717,Female,Yes,70,Yes,Artist,1,Average,4,Cat_6,C,1,0
395,462149,Female,Yes,89,No,Lawyer,3,High,1,Cat_6,D,0,1
396,462769,Female,Yes,42,No,Homemaker,6,High,4,Cat_6,B,2,1
397,465532,Female,Yes,37,Yes,Entertainment,6,Average,3,Cat_4,A,1,0
398,462829,Male,Yes,29,No,Executive,1,Average,3,Cat_6,D,1,0
399,459210,Female,Yes,68,Yes,Artist,1,High,2,Cat_6,C,0,1
400,464659,Female,No,25,No,Engineer,1,Low,1,Cat_4,D,2,2
402,467759,Female,Yes,48,Yes,Doctor,0,Low,2,Cat_6,C,0,2
403,461475,Female,Yes,51,Yes,Doctor,1,Average,3,Cat_1,C,1,0
404,462714,Female,Yes,40,Yes,Engineer,1,High,5,Cat_2,B,1,1
405,466890,Male,Yes,47,Yes,Artist,0,Average,6,Cat_7,B,1,0
407,467479,Male,Yes,35,Yes,Executive,1,Average,4,Cat_6,C,1,0
408,466799,Female,No,19,No,Healthcare,2,Low,3,Cat_6,D,2,2
410,460873,Male,Yes,46,Yes,Entertainment,0,Average,3,Cat_4,B,1,0
411,466776,Male,Yes,86,Yes,Lawyer,0,Low,1,Cat_6,B,0,2
412,459462,Male,Yes,66,Yes,Artist,0,High,2,Cat_6,B,0,1
413,465727,Male,No,42,No,Marketing,1,Low,5,Cat_4,D,2,2
414,462348,Female,Yes,73,Yes,Lawyer,1,High,2,Cat_6,B,0,1
415,460941,Male,Yes,72,No,Engineer,1,Low,1,Cat_6,A,0,2
416,461629,Male,Yes,53,Yes,Artist,0,Low,3,Cat_6,B,0,2
